2023-09-04 21:40:02	Test-time adaptation benchmark: scenarios=Scenario(task='classification', model_name='resnet26', model_adaptation_method='rotta', model_selection_method='last_iterate', base_data_name='cifar10', src_data_name='cifar10', test_domains=[TestDomain(base_data_name='cifar10', data_name='cifar10_c_deterministic-snow-5', shift_type='synthetic', shift_property=SyntheticShiftProperty(shift_degree=5, shift_name='snow', version='deterministic', has_shift=True), domain_sampling_name='uniform', domain_sampling_value=None, domain_sampling_ratio=1.0)], test_case=TestCase(inter_domain=HeterogeneousNoMixture(has_mixture=False, non_iid_pattern='class_wise_over_domain', non_iid_ness=0.1), batch_size=64, data_wise='batch_wise', offline_pre_adapt=False, episodic=False, intra_domain_shuffle=True))
2023-09-04 21:40:09		initialize selection method=last_iterate.
2023-09-04 21:40:09		adapt the model for 1 steps with lr=0.001.
2023-09-04 21:40:10		select the optimal model (1-th step and lr=0.001) for the current mini-batch.
2023-09-04 21:40:10		initialize selection method=last_iterate.
2023-09-04 21:40:10		adapt the model for 1 steps with lr=0.001.
2023-09-04 21:40:10		select the optimal model (1-th step and lr=0.001) for the current mini-batch.
2023-09-04 21:40:10		initialize selection method=last_iterate.
2023-09-04 21:40:10		adapt the model for 1 steps with lr=0.001.
2023-09-04 21:40:11		select the optimal model (1-th step and lr=0.001) for the current mini-batch.
2023-09-04 21:40:11		initialize selection method=last_iterate.
2023-09-04 21:40:11		adapt the model for 1 steps with lr=0.001.
2023-09-04 21:40:12		select the optimal model (1-th step and lr=0.001) for the current mini-batch.
2023-09-04 21:40:12		initialize selection method=last_iterate.
2023-09-04 21:40:12		adapt the model for 1 steps with lr=0.001.
2023-09-04 21:40:13		select the optimal model (1-th step and lr=0.001) for the current mini-batch.
2023-09-04 21:40:13		initialize selection method=last_iterate.
2023-09-04 21:40:13		adapt the model for 1 steps with lr=0.001.
2023-09-04 21:40:14		select the optimal model (1-th step and lr=0.001) for the current mini-batch.
2023-09-04 21:40:14		initialize selection method=last_iterate.
2023-09-04 21:40:14		adapt the model for 1 steps with lr=0.001.
2023-09-04 21:40:15		select the optimal model (1-th step and lr=0.001) for the current mini-batch.
2023-09-04 21:40:15		initialize selection method=last_iterate.
2023-09-04 21:40:15		adapt the model for 1 steps with lr=0.001.
2023-09-04 21:40:16		select the optimal model (1-th step and lr=0.001) for the current mini-batch.
2023-09-04 21:40:16		initialize selection method=last_iterate.
2023-09-04 21:40:16		adapt the model for 1 steps with lr=0.001.
2023-09-04 21:40:17		select the optimal model (1-th step and lr=0.001) for the current mini-batch.
2023-09-04 21:40:17		initialize selection method=last_iterate.
2023-09-04 21:40:17		adapt the model for 1 steps with lr=0.001.
2023-09-04 21:40:18		select the optimal model (1-th step and lr=0.001) for the current mini-batch.
2023-09-04 21:40:18		initialize selection method=last_iterate.
2023-09-04 21:40:18		adapt the model for 1 steps with lr=0.001.
2023-09-04 21:40:19		select the optimal model (1-th step and lr=0.001) for the current mini-batch.
2023-09-04 21:40:19		initialize selection method=last_iterate.
2023-09-04 21:40:19		adapt the model for 1 steps with lr=0.001.
2023-09-04 21:40:20		select the optimal model (1-th step and lr=0.001) for the current mini-batch.
2023-09-04 21:40:20		initialize selection method=last_iterate.
2023-09-04 21:40:20		adapt the model for 1 steps with lr=0.001.
2023-09-04 21:40:21		select the optimal model (1-th step and lr=0.001) for the current mini-batch.
2023-09-04 21:40:21		initialize selection method=last_iterate.
2023-09-04 21:40:21		adapt the model for 1 steps with lr=0.001.
2023-09-04 21:40:22		select the optimal model (1-th step and lr=0.001) for the current mini-batch.
2023-09-04 21:40:22		initialize selection method=last_iterate.
2023-09-04 21:40:22		adapt the model for 1 steps with lr=0.001.
2023-09-04 21:40:23		select the optimal model (1-th step and lr=0.001) for the current mini-batch.
2023-09-04 21:40:23		initialize selection method=last_iterate.
2023-09-04 21:40:23		adapt the model for 1 steps with lr=0.001.
2023-09-04 21:40:24		select the optimal model (1-th step and lr=0.001) for the current mini-batch.
2023-09-04 21:40:24		initialize selection method=last_iterate.
2023-09-04 21:40:24		adapt the model for 1 steps with lr=0.001.
2023-09-04 21:40:25		select the optimal model (1-th step and lr=0.001) for the current mini-batch.
2023-09-04 21:40:25		initialize selection method=last_iterate.
2023-09-04 21:40:25		adapt the model for 1 steps with lr=0.001.
2023-09-04 21:40:26		select the optimal model (1-th step and lr=0.001) for the current mini-batch.
2023-09-04 21:40:26		initialize selection method=last_iterate.
2023-09-04 21:40:26		adapt the model for 1 steps with lr=0.001.
2023-09-04 21:40:27		select the optimal model (1-th step and lr=0.001) for the current mini-batch.
2023-09-04 21:40:27		initialize selection method=last_iterate.
2023-09-04 21:40:27		adapt the model for 1 steps with lr=0.001.
2023-09-04 21:40:28		select the optimal model (1-th step and lr=0.001) for the current mini-batch.
2023-09-04 21:40:28		initialize selection method=last_iterate.
2023-09-04 21:40:28		adapt the model for 1 steps with lr=0.001.
2023-09-04 21:40:29		select the optimal model (1-th step and lr=0.001) for the current mini-batch.
2023-09-04 21:40:29		initialize selection method=last_iterate.
