2023-09-05 15:27:00	Test-time adaptation benchmark: scenarios=Scenario(task='classification', model_name='resnet26', model_adaptation_method='rotta', model_selection_method='last_iterate', base_data_name='cifar10', src_data_name='cifar10', test_domains=[TestDomain(base_data_name='cifar10', data_name='cifar10_c_deterministic-fog-5', shift_type='synthetic', shift_property=SyntheticShiftProperty(shift_degree=5, shift_name='fog', version='deterministic', has_shift=True), domain_sampling_name='uniform', domain_sampling_value=None, domain_sampling_ratio=1.0)], test_case=TestCase(inter_domain=HeterogeneousNoMixture(has_mixture=False, non_iid_pattern='class_wise_over_domain', non_iid_ness=0.1), batch_size=64, data_wise='batch_wise', offline_pre_adapt=False, episodic=False, intra_domain_shuffle=True))
2023-09-05 15:27:07		initialize selection method=last_iterate.
2023-09-05 15:27:07		adapt the model for 1 steps with lr=0.001.
2023-09-05 15:27:08		select the optimal model (1-th step and lr=0.001) for the current mini-batch.
2023-09-05 15:27:08		initialize selection method=last_iterate.
2023-09-05 15:27:08		adapt the model for 1 steps with lr=0.001.
2023-09-05 15:27:09		select the optimal model (1-th step and lr=0.001) for the current mini-batch.
2023-09-05 15:27:09		initialize selection method=last_iterate.
2023-09-05 15:27:09		adapt the model for 1 steps with lr=0.001.
2023-09-05 15:27:09		select the optimal model (1-th step and lr=0.001) for the current mini-batch.
2023-09-05 15:27:09		initialize selection method=last_iterate.
2023-09-05 15:27:09		adapt the model for 1 steps with lr=0.001.
2023-09-05 15:27:10		select the optimal model (1-th step and lr=0.001) for the current mini-batch.
2023-09-05 15:27:10		initialize selection method=last_iterate.
2023-09-05 15:27:10		adapt the model for 1 steps with lr=0.001.
2023-09-05 15:27:11		select the optimal model (1-th step and lr=0.001) for the current mini-batch.
2023-09-05 15:27:11		initialize selection method=last_iterate.
2023-09-05 15:27:11		adapt the model for 1 steps with lr=0.001.
2023-09-05 15:27:12		select the optimal model (1-th step and lr=0.001) for the current mini-batch.
2023-09-05 15:27:12		initialize selection method=last_iterate.
2023-09-05 15:27:12		adapt the model for 1 steps with lr=0.001.
2023-09-05 15:27:13		select the optimal model (1-th step and lr=0.001) for the current mini-batch.
2023-09-05 15:27:13		initialize selection method=last_iterate.
2023-09-05 15:27:13		adapt the model for 1 steps with lr=0.001.
2023-09-05 15:27:14		select the optimal model (1-th step and lr=0.001) for the current mini-batch.
2023-09-05 15:27:14		initialize selection method=last_iterate.
2023-09-05 15:27:14		adapt the model for 1 steps with lr=0.001.
2023-09-05 15:27:15		select the optimal model (1-th step and lr=0.001) for the current mini-batch.
2023-09-05 15:27:15		initialize selection method=last_iterate.
2023-09-05 15:27:15		adapt the model for 1 steps with lr=0.001.
2023-09-05 15:27:16		select the optimal model (1-th step and lr=0.001) for the current mini-batch.
2023-09-05 15:27:16		initialize selection method=last_iterate.
2023-09-05 15:27:16		adapt the model for 1 steps with lr=0.001.
2023-09-05 15:27:17		select the optimal model (1-th step and lr=0.001) for the current mini-batch.
2023-09-05 15:27:17		initialize selection method=last_iterate.
2023-09-05 15:27:17		adapt the model for 1 steps with lr=0.001.
2023-09-05 15:27:18		select the optimal model (1-th step and lr=0.001) for the current mini-batch.
2023-09-05 15:27:18		initialize selection method=last_iterate.
2023-09-05 15:27:18		adapt the model for 1 steps with lr=0.001.
2023-09-05 15:27:19		select the optimal model (1-th step and lr=0.001) for the current mini-batch.
2023-09-05 15:27:19		initialize selection method=last_iterate.
2023-09-05 15:27:19		adapt the model for 1 steps with lr=0.001.
2023-09-05 15:27:20		select the optimal model (1-th step and lr=0.001) for the current mini-batch.
2023-09-05 15:27:20		initialize selection method=last_iterate.
2023-09-05 15:27:20		adapt the model for 1 steps with lr=0.001.
2023-09-05 15:27:21		select the optimal model (1-th step and lr=0.001) for the current mini-batch.
2023-09-05 15:27:21		initialize selection method=last_iterate.
2023-09-05 15:27:21		adapt the model for 1 steps with lr=0.001.
2023-09-05 15:27:23		select the optimal model (1-th step and lr=0.001) for the current mini-batch.
2023-09-05 15:27:23		initialize selection method=last_iterate.
2023-09-05 15:27:23		adapt the model for 1 steps with lr=0.001.
2023-09-05 15:27:24		select the optimal model (1-th step and lr=0.001) for the current mini-batch.
2023-09-05 15:27:24		initialize selection method=last_iterate.
2023-09-05 15:27:24		adapt the model for 1 steps with lr=0.001.
2023-09-05 15:27:25		select the optimal model (1-th step and lr=0.001) for the current mini-batch.
2023-09-05 15:27:25		initialize selection method=last_iterate.
2023-09-05 15:27:25		adapt the model for 1 steps with lr=0.001.
2023-09-05 15:27:26		select the optimal model (1-th step and lr=0.001) for the current mini-batch.
2023-09-05 15:27:26		initialize selection method=last_iterate.
2023-09-05 15:27:26		adapt the model for 1 steps with lr=0.001.
2023-09-05 15:27:27		select the optimal model (1-th step and lr=0.001) for the current mini-batch.
2023-09-05 15:27:27		initialize selection method=last_iterate.
2023-09-05 15:27:27		adapt the model for 1 steps with lr=0.001.
2023-09-05 15:27:28		select the optimal model (1-th step and lr=0.001) for the current mini-batch.
2023-09-05 15:27:28		initialize selection method=last_iterate.
2023-09-05 15:27:28		adapt the model for 1 steps with lr=0.001.
2023-09-05 15:27:29		select the optimal model (1-th step and lr=0.001) for the current mini-batch.
2023-09-05 15:27:29		initialize selection method=last_iterate.
2023-09-05 15:27:29		adapt the model for 1 steps with lr=0.001.
2023-09-05 15:27:30		select the optimal model (1-th step and lr=0.001) for the current mini-batch.
2023-09-05 15:27:30		initialize selection method=last_iterate.
2023-09-05 15:27:30		adapt the model for 1 steps with lr=0.001.
2023-09-05 15:27:31		select the optimal model (1-th step and lr=0.001) for the current mini-batch.
2023-09-05 15:27:31		initialize selection method=last_iterate.
2023-09-05 15:27:31		adapt the model for 1 steps with lr=0.001.
2023-09-05 15:27:32		select the optimal model (1-th step and lr=0.001) for the current mini-batch.
2023-09-05 15:27:32		initialize selection method=last_iterate.
2023-09-05 15:27:32		adapt the model for 1 steps with lr=0.001.
2023-09-05 15:27:33		select the optimal model (1-th step and lr=0.001) for the current mini-batch.
2023-09-05 15:27:33		initialize selection method=last_iterate.
2023-09-05 15:27:33		adapt the model for 1 steps with lr=0.001.
2023-09-05 15:27:34		select the optimal model (1-th step and lr=0.001) for the current mini-batch.
2023-09-05 15:27:34		initialize selection method=last_iterate.
2023-09-05 15:27:34		adapt the model for 1 steps with lr=0.001.
2023-09-05 15:27:35		select the optimal model (1-th step and lr=0.001) for the current mini-batch.
2023-09-05 15:27:35		initialize selection method=last_iterate.
2023-09-05 15:27:35		adapt the model for 1 steps with lr=0.001.
2023-09-05 15:27:36		select the optimal model (1-th step and lr=0.001) for the current mini-batch.
2023-09-05 15:27:36		initialize selection method=last_iterate.
